productid,link,product_title,price,actual_price,ratings,color
1,https://www.daraz.com.np/products/apple-macbook-air-13-inch-m1-256gb-oliz-store-i106600811.html,Apple MacBook Air 13-inch M1 256GB - Oliz Store,"Rs. 109,900","Rs. 139,900",76 Ratings,Space Grey
5,https://www.daraz.com.np/products/lenovo-v15-celeron-4gb-ram-256gb-ssd156-inch-hd-display-i117911554.html,"Lenovo V15 celeron 4GB RAM 256GB SSD,15.6 inch HD Display","Rs. 33,998","Rs. 45,000",22 Ratings,Black
7,https://www.daraz.com.np/products/dell-celeron-5470-intel-uhd-8256gb-ssd-i129342925.html,Dell Celeron 5470 Intel UHD 8/256GB SSD,"Rs. 35,800","Rs. 40,000",5 Ratings,Black
8,https://www.daraz.com.np/products/acer-aspire-3-ryzen-7-5700u-16-gb-ram-512-gb-ssd156-fhd-amd-gfx-win-11-i134922201.html,Acer Aspire 3 Ryzen 7 - 5700U / 16 GB RAM/ 512 GB SSD/15.6 FHD/ AMD Gfx/ Win 11,"Rs. 73,990","Rs. 89,990",No Ratings,Silver
9,https://www.daraz.com.np/products/acer-nitro-v-15-core-i5-13420h-13th-gen-16-gb-ddr5-ram-512-gb-ssd156-fhd-144-hrzrtx-2050-4gb-gfx-backlit-keyboard-win-11-i132059491.html,"Acer Nitro V 15 Core i5-13420H 13th Gen/ 16 GB DDR5 RAM/ 512 GB SSD/15.6"" FHD 144 Hrz/RTX 2050 4GB GFX/ Backlit Keyboard/ Win 11","Rs. 101,990","Rs. 119,990",1 Ratings,Black
10,https://www.daraz.com.np/products/acer-swift-go-14-intel-evo-i5-13th-gen-13500h-16gb-ddr5-ram-512gb-nvme-ssd-intel-integrated-graphics-14inch-28k-oled-2880-x-1800-400nits-display-backlit-keyboard-silver-i128946946.html,Acer Swift Go 14 Intel Evo i5 13th Gen 13500H – 16GB DDR5 RAM – 512GB NVMe SSD – Intel Integrated Graphics – 14inch 2.8K OLED ( 2880 x 1800 ) 400nits Display – Backlit Keyboard - Silver,"Rs. 104,999","Rs. 125,000",5 Ratings,Silver
11,https://www.daraz.com.np/products/acer-aspire-5-core-i5-13th-gen8gb-ram512gb-ssd156-fhdwin-11-i128494367.html,"Acer Aspire 5 Core i5 13th Gen/8GB RAM/512GB SSD/15.6"" FHD/Win 11","Rs. 71,990","Rs. 85,000",8 Ratings,Steel Gray
15,https://www.daraz.com.np/products/asus-vivo-book-x1402z-core-i5-12th-gen8gb-ram512-gb-ssd14-fhd-displaymagic-numpad-win-11-i128491406.html,"ASUS Vivo Book X1402Z Core i5 12th Gen/8GB RAM/512 GB SSD/14"" FHD Display/Magic Numpad/ Win 11","Rs. 75,990","Rs. 92,000",1 Ratings,Silver
17,https://www.daraz.com.np/products/dell-latitude-e5400-i5-8th-gen-8-gb-ram-256-gb-ssd-14-screen-i129314954.html,"Dell Latitude E5400 I5-8th Gen | 8 GB RAM | 256 GB SSD | 14"" Screen","Rs. 45,499","Rs. 65,000",1 Ratings,Black
18,https://www.daraz.com.np/products/dell-latitude-e5300-i5-8th-gen-8gb-256-ssd-133-ultrabook-i128496077.html,Dell Latitude E5300 i5-8th Gen 8GB 256 SSD 13.3″ Ultrabook,"Rs. 45,000","Rs. 72,000",5 Ratings,Black
