link,product_title,price,actual_price,ratings,color
https://www.daraz.com.np/products/dell-vostro-3520-i3-12th-gen-16gb-ram-512gb-ssd-156-120hz-fhd-display-laptop-i129017788.html,"Dell Vostro 3520 i3 12th Gen | 16GB RAM | 512GB SSD | 15.6"" 120Hz FHD Display Laptop","Rs. 55,999",N/A,13 Ratings,Black
https://www.daraz.com.np/products/apple-macbook-air-13-inch-m1-256gb-oliz-store-i106600811.html,Apple MacBook Air 13-inch M1 256GB - Oliz Store,"Rs. 109,900","Rs. 139,900",76 Ratings,Space Grey
https://www.daraz.com.np/products/dell-vostro-3520-i5-12th-gen-16gb-ram-512gb-ssd-156-120hz-fhd-black-i129411877.html,"Dell Vostro 3520 i5 12th Gen | 16GB RAM | 512GB SSD | 15.6"" 120Hz FHD | Black","Rs. 68,999",N/A,22 Ratings,Black
https://www.daraz.com.np/products/dell-vostro-3520-i5-12th-gen-8gb-ram-256gb-ssd-156-120hz-fhd-black-i128524301.html,"Dell Vostro 3520 i5 12th Gen | 8GB RAM | 256GB SSD | 15.6"" 120Hz FHD | Black","Rs. 64,000",N/A,8 Ratings,Black
https://www.daraz.com.np/products/acer-nitro-v-15-i7-13th-gen-13620h-16gb-ddr5-512gb-ssd-rtx-4050-6gb-156-fhd-144hz-i131403009.html,"Acer Nitro V 15 i7 13th Gen 13620H | 16GB DDR5 | 512GB SSD | RTX 4050 6GB | 15.6"" FHD 144Hz","Rs. 137,999",N/A,2 Ratings,Black
https://www.daraz.com.np/products/lenovo-v15-celeron-4gb-ram-256gb-ssd156-inch-hd-display-i117911554.html,"Lenovo V15 celeron 4GB RAM 256GB SSD,15.6 inch HD Display","Rs. 33,998","Rs. 45,000",22 Ratings,Black
https://www.daraz.com.np/products/dell-vostro-3520-i3-12th-gen-8gb-ram-512gb-ssd-156-fhd-120hz-display-laptop-i128509518.html,"Dell Vostro 3520 i3 12th Gen | 8GB RAM | 512GB SSD | 15.6"" FHD 120Hz Display Laptop","Rs. 52,500",N/A,3 Ratings,Black
https://www.daraz.com.np/products/dell-celeron-5470-intel-uhd-8256gb-ssd-i129342925.html,Dell Celeron 5470 Intel UHD 8/256GB SSD,"Rs. 35,800","Rs. 40,000",5 Ratings,Black
https://www.daraz.com.np/products/acer-aspire-3-ryzen-7-5700u-16-gb-ram-512-gb-ssd156-fhd-amd-gfx-win-11-i134922201.html,Acer Aspire 3 Ryzen 7 - 5700U / 16 GB RAM/ 512 GB SSD/15.6 FHD/ AMD Gfx/ Win 11,"Rs. 73,990","Rs. 89,990",No Ratings,Silver
https://www.daraz.com.np/products/acer-nitro-v-15-core-i5-13420h-13th-gen-16-gb-ddr5-ram-512-gb-ssd156-fhd-144-hrzrtx-2050-4gb-gfx-backlit-keyboard-win-11-i132059491.html,"Acer Nitro V 15 Core i5-13420H 13th Gen/ 16 GB DDR5 RAM/ 512 GB SSD/15.6"" FHD 144 Hrz/RTX 2050 4GB GFX/ Backlit Keyboard/ Win 11","Rs. 101,990","Rs. 119,990",1 Ratings,Black
